filename,width,height,mode,format,average-red,average-green,average-blue
3294.jpg,383,256,RGB,JPG,150.6255405515666,157.97306421344646,159.62860027741516
5064.jpg,169,255,RGB,JPG,165.7994430908458,152.2135282515373,139.46128321150945
3618.jpg,230,255,RGB,JPG,142.9953623188406,159.44693947144077,189.45648763853367
5403.jpg,170,255,RGB,JPG,178.2126643598616,175.3248212226067,179.43988465974627
3960.jpg,409,256,RGB,JPG,196.30891847493888,179.24016274449878,167.07307266198043
6003.jpg,170,255,RGB,JPG,240.38708189158018,217.86632064590543,201.9967012687428
903.jpg,339,256,RGB,JPG,190.40958010693214,168.0059918879056,150.1548326880531
3273.jpg,305,256,RGB,JPG,240.00495645491804,213.62881659836066,210.60676229508198
4977.jpg,240,255,RGB,JPG,59.37629084967321,112.7913071895425,184.6470751633987
4728.jpg,384,256,RGB,JPG,205.71064249674478,180.986572265625,148.98981730143228
6069.jpg,341,256,RGB,JPG,98.5150178702346,126.50792705278592,120.76980617668622
3528.jpg,211,255,RGB,JPG,244.96018957345973,233.93390948796582,201.0395688133073
4530.jpg,170,256,RGB,JPG,131.85144761029412,106.471484375,54.82403492647059
3393.jpg,384,256,RGB,JPG,223.09444173177081,212.2530517578125,206.94258626302081
2757.jpg,170,255,RGB,JPG,99.71056516724337,85.06576701268743,70.9649596309112
624.jpg,384,256,RGB,JPG,131.82717895507812,81.36506144205728,84.12557983398438
5625.jpg,310,256,RGB,JPG,120.886328125,123.14504788306452,122.112890625
1038.jpg,349,255,RGB,JPG,228.51200629248834,215.30175852575985,183.9180403393449
669.jpg,182,255,RGB,JPG,96.00452488687783,96.47265675500971,94.50702434820083
717.jpg,256,256,RGB,JPG,36.37394714355469,95.23194885253906,117.67182922363281
1059.jpg,170,255,RGB,JPG,69.13287197231834,163.42470588235295,88.77870818915802
4641.jpg,256,256,RGB,JPG,218.6940155029297,211.84222412109375,207.31951904296875
2979.jpg,207,256,RGB,JPG,223.80383831521738,205.8673950785024,191.23065745772945
12.jpg,359,256,RGB,JPG,165.95890276810584,162.9066308321727,160.686955954039
2118.jpg,384,255,RGB,JPG,194.47762459150326,131.70827205882352,98.73120915032679
5730.jpg,169,255,RGB,JPG,118.06977607611093,112.36732799628727,97.81132381946861
3936.jpg,252,255,RGB,JPG,231.11693121693122,96.14698101462807,101.66584189231249
1212.jpg,321,256,RGB,JPG,245.39719626168224,178.84276431074767,157.8656785436137
1581.jpg,384,256,RGB,JPG,106.85024007161458,125.81649780273438,167.59178670247394
5769.jpg,256,256,RGB,JPG,117.45576477050781,140.92701721191406,151.75390625
5364.jpg,256,256,RGB,JPG,62.61920166015625,124.25624084472656,194.51768493652344
5328.jpg,352,256,RGB,JPG,178.3055419921875,169.9173251065341,105.3304776278409
4032.jpg,206,256,RGB,JPG,173.58267597087377,146.78913834951456,144.68283525485435
2625.jpg,134,255,RGB,JPG,132.94509803921568,129.82194907813872,132.03380158033363
2307.jpg,170,255,RGB,JPG,180.8875201845444,211.61153402537485,216.8338177623991
2565.jpg,384,255,RGB,JPG,131.5530739379085,146.44266748366013,133.17245710784312
4455.jpg,169,255,RGB,JPG,174.7286228100708,168.33957535676993,157.56848822369184
4314.jpg,170,255,RGB,JPG,160.14668973471743,157.00775086505192,151.10006920415225
5988.jpg,384,255,RGB,JPG,209.64010416666665,180.5875306372549,160.86989379084966
3585.jpg,157,255,RGB,JPG,192.9249656550518,171.43591857125014,176.29898838516297
5778.jpg,390,256,RGB,JPG,174.41466346153845,148.81276041666666,116.46883012820513
2661.jpg,384,256,RGB,JPG,220.13934326171875,160.14066569010416,113.33563232421875
4491.jpg,384,255,RGB,JPG,99.71613562091503,90.83803104575163,72.6938316993464
582.jpg,384,256,RGB,JPG,175.83412679036456,146.26778157552081,139.17662556966144
5097.jpg,170,255,RGB,JPG,129.14717416378318,129.14717416378318,129.14717416378318
3072.jpg,170,255,RGB,JPG,144.79598615916956,95.87236447520185,34.469342560553635
4041.jpg,384,256,RGB,JPG,143.10224405924478,135.54168701171875,131.290283203125
